CI_LGAa_data2
Postcode,Year,Incidents Recorded
3423,2023,28
3424,2023,28
3363,2023,73
3364,2023,73
3365,2023,73
3366,2023,73
3377,2023,73
3379,2023,73
3381,2023,73
3211,2023,1012
3212,2023,1012
3213,2023,1012
3214,2023,1012
3215,2023,1012
3216,2023,1012
3218,2023,1012
3219,2023,1012
3220,2023,1012
3221,2023,1012
3222,2023,1012
3223,2023,1012
3224,2023,1012
3225,2023,1012
3226,2023,1012
3550,2023,786
3551,2023,786
3552,2023,786
3553,2023,786
3554,2023,786
3555,2023,786
3556,2023,786
3557,2023,786
3558,2023,786
3559,2023,786
3211,2023,51
3212,2023,51
3216,2023,51
3218,2023,51
3221,2023,51
3222,2023,51
3331,2023,51
3333,2023,51
3334,2023,51
3335,2023,51
3300,2023,106
3301,2023,106
3302,2023,106
3303,2023,106
3304,2023,106
3305,2023,106
3306,2023,106
3307,2023,106
3308,2023,106
3312,2023,106
3564,2023,87
3565,2023,87
3566,2023,87
3567,2023,87
3575,2023,87
3579,2023,87
3260,2023,48
3264,2023,48
3266,2023,48
3268,2023,48
3270,2023,48
3271,2023,48
3272,2023,48
3273,2023,48
3274,2023,48
3275,2023,48
3249,2023,110
3250,2023,110
3251,2023,110
3254,2023,110
3256,2023,110
3260,2023,110
3264,2023,110
3266,2023,110
3268,2023,110
3270,2023,110
3450,2023,97
3451,2023,97
3452,2023,97
3453,2023,97
3454,2023,97
3455,2023,97
3456,2023,97
3461,2023,97
3564,2023,310
3565,2023,310
3566,2023,310
3567,2023,310
3568,2023,310
3570,2023,310
3571,2023,310
3572,2023,310
3575,2023,310
3480,2023,44
3482,2023,44
3483,2023,44
3487,2023,44
3490,2023,44
3491,2023,44
3350,2023,1175
3352,2023,1175
3353,2023,1175
3354,2023,1175
3355,2023,1175
3356,2023,1175
3357,2023,1175
3377,2023,125
3378,2023,125
3379,2023,125
3380,2023,125
3381,2023,125
3384,2023,125
3385,2023,125
3390,2023,56
3391,2023,56
3393,2023,56
3395,2023,56
3396,2023,56
3399,2023,56
